Mating group (foursome),Mom,Dad,Treatment,y (growth rate),,,Notes:,,,,
30,1,1,S,8.29546,,,,,,,
30,1,1,M,9.2862,,,,,,,
30,1,1,M,8.07848,,,,,,,
30,1,1,L,15.04406,,,,,,,
30,1,1,L,9.22086,,,,,,,
30,2,1,S,11.99586,,,,,,,
30,2,1,S,10.4549,,,,,,,
30,2,1,M,10.17066,,,,,,,
30,2,1,M,9.3103,,,,,,,
30,2,1,L,9.34402,,,,,,,
30,2,1,L,8.3365,,,,,,,
30,1,2,S,10.09024,,,,,,,
30,1,2,S,10.1638,,,,,,,
30,1,2,M,11.43904,,,,,,,
30,1,2,M,12.58182,,,,,,,
30,1,2,L,11.2499,,,,,,,
30,1,2,L,13.0566,,,,,,,
30,2,2,S,10.43254,,,,,,,
30,2,2,S,11.62126,,,,,,,
30,2,2,M,11.85504,,,,,,,
30,2,2,M,10.96088,,,,,,,
30,2,2,L,7.78976,,,,,,,
30,2,2,L,11.44866,,,,,,,
31,1,1,S,9.49874,,,,,,,
31,1,1,S,9.80648,,,,,,,
31,1,1,M,8.76252,,,,,,,
31,1,1,M,7.96718,,,,,,,
31,1,1,L,7.23714,,,,,,,
31,1,1,L,9.77584,,,,,,,
31,2,1,S,10.03882,,,,,,,
31,2,1,S,12.87298,,,,,,,
31,2,1,M,11.51496,,,,,,,
31,2,1,M,9.4856,,,,,,,
31,2,1,L,13.68998,,,,,,,
31,2,1,L,11.09132,,,,,,,
31,1,2,S,10.03894,,,,,,,
31,1,2,S,12.59038,,,,,,,
31,1,2,M,3.36524,,,,,,,
31,1,2,M,10.33112,,,,,,,
31,1,2,L,9.26478,,,,,,,
31,1,2,L,15.14348,,,,,,,
31,2,2,S,12.43514,,,,,,,
31,2,2,S,12.89212,,,,,,,
31,2,2,M,10.66208,,,,,,,
31,2,2,M,7.1306,,,,,,,
31,2,2,L,11.92072,,,,,,,
31,2,2,L,9.0875,,,,,,,
32,1,1,S,8.1918,,,,,,,
32,1,1,S,10.95404,,,,,,,
32,1,1,M,8.56418,,,,,,,
32,1,1,M,6.56804,,,,,,,
32,1,1,L,7.30058,,,,,,,
32,1,1,L,9.27746,,,,,,,
32,2,1,S,11.57854,,,,,,,
32,2,1,S,11.1529,,,,,,,
32,2,1,M,11.12826,,,,,,,
32,2,1,M,12.00452,,,,,,,
32,2,1,L,13.63652,,,,,,,
32,2,1,L,16.19706,,,,,,,
32,1,2,S,10.46128,,,,,,,
32,1,2,S,10.0893,,,,,,,
32,1,2,M,8.84094,,,,,,,
32,1,2,M,9.3598,,,,,,,
32,1,2,L,7.6707,,,,,,,
32,1,2,L,9.82736,,,,,,,
32,2,2,S,10.91238,,,,,,,
32,2,2,S,10.68202,,,,,,,
32,2,2,M,8.7581,,,,,,,
32,2,2,M,10.63402,,,,,,,
32,2,2,L,10.85838,,,,,,,
32,2,2,L,11.26782,,,,,,,
33,1,1,S,10.86716,,,,,,,
33,1,1,S,10.17308,,,,,,,
33,1,1,M,7.63618,,,,,,,
33,1,1,M,7.12228,,,,,,,
33,1,1,L,11.95966,,,,,,,
33,1,1,L,10.03046,,,,,,,
33,2,1,S,10.38506,,,,,,,
33,2,1,S,10.69406,,,,,,,
33,2,1,M,14.70086,,,,,,,
33,2,1,M,12.82648,,,,,,,
33,2,1,L,11.42002,,,,,,,
33,2,1,L,13.88652,,,,,,,
33,1,2,S,14.28416,,,,,,,
33,1,2,S,12.21444,,,,,,,
33,1,2,M,11.30212,,,,,,,
33,1,2,M,9.22594,,,,,,,
33,1,2,L,8.42552,,,,,,,
33,1,2,L,7.13934,,,,,,,
33,2,2,S,10.0008,,,,,,,
33,2,2,S,12.05218,,,,,,,
33,2,2,M,10.48738,,,,,,,
33,2,2,M,12.10314,,,,,,,
33,2,2,L,7.51266,,,,,,,
33,2,2,L,11.31456,,,,,,,
34,1,1,S,9.64186,,,,,,,
34,1,1,S,8.4121,,,,,,,
34,1,1,M,5.69608,,,,,,,
34,1,1,M,10.84174,,,,,,,
34,1,1,L,9.65648,,,,,,,
34,1,1,L,11.53792,,,,,,,
34,2,1,S,11.8255,,,,,,,
34,2,1,S,12.351,,,,,,,
34,2,1,M,7.1814,,,,,,,
34,2,1,M,15.13798,,,,,,,
34,2,1,L,10.9559,,,,,,,
34,2,1,L,12.59894,,,,,,,
34,1,2,S,11.4732,,,,,,,
34,1,2,S,13.61492,,,,,,,
34,1,2,M,10.24034,,,,,,,
34,1,2,M,9.0835,,,,,,,
34,1,2,L,11.36032,,,,,,,
34,1,2,L,9.07922,,,,,,,
34,2,2,S,9.43546,,,,,,,
34,2,2,S,8.91482,,,,,,,
34,2,2,M,10.90318,,,,,,,
34,2,2,M,12.22066,,,,,,,
34,2,2,L,11.44156,,,,,,,
34,2,2,L,7.38782,,,,,,,
35,1,1,S,10.61724,,,,,,,
35,1,1,S,8.4749,,,,,,,
35,1,1,M,7.72926,,,,,,,
35,1,1,M,9.20504,,,,,,,
35,1,1,L,9.60614,,,,,,,
35,1,1,L,8.06394,,,,,,,
35,2,1,S,12.69634,,,,,,,
35,2,1,S,13.40914,,,,,,,
35,2,1,M,16.01238,,,,,,,
35,2,1,M,15.26596,,,,,,,
35,2,1,L,11.40172,,,,,,,
35,2,1,L,11.93908,,,,,,,
35,1,2,S,11.93678,,,,,,,
35,1,2,S,12.54578,,,,,,,
35,1,2,M,5.94118,,,,,,,
35,1,2,M,11.52608,,,,,,,
35,1,2,L,7.97406,,,,,,,
35,1,2,L,9.71782,,,,,,,
35,2,2,S,11.80972,,,,,,,
35,2,2,S,6.08152,,,,,,,
35,2,2,M,11.54962,,,,,,,
35,2,2,M,11.97394,,,,,,,
35,2,2,L,10.93132,,,,,,,
35,2,2,L,10.13308,,,,,,,
36,1,1,S,7.83028,,,,,,,
36,1,1,S,7.01068,,,,,,,
36,1,1,M,6.7859,,,,,,,
36,1,1,M,9.5355,,,,,,,
36,1,1,L,10.067,,,,,,,
36,1,1,L,11.79908,,,,,,,
36,2,1,S,14.53384,,,,,,,
36,2,1,S,14.65534,,,,,,,
36,2,1,M,10.04462,,,,,,,
36,2,1,M,10.0252,,,,,,,
36,2,1,L,9.48136,,,,,,,
36,2,1,L,10.25854,,,,,,,
36,1,2,S,12.29766,,,,,,,
36,1,2,S,14.3517,,,,,,,
36,1,2,M,9.63834,,,,,,,
36,1,2,M,9.96346,,,,,,,
36,1,2,L,11.035,,,,,,,
36,1,2,L,7.79678,,,,,,,
36,2,2,S,11.9061,,,,,,,
36,2,2,S,12.32838,,,,,,,
36,2,2,M,7.09196,,,,,,,
36,2,2,M,9.62996,,,,,,,
36,2,2,L,11.88526,,,,,,,
36,2,2,L,10.37316,,,,,,,
37,1,1,S,11.18494,,,,,,,
37,1,1,S,10.30518,,,,,,,
37,1,1,M,11.07618,,,,,,,
37,1,1,M,10.26564,,,,,,,
37,1,1,L,7.00654,,,,,,,
37,1,1,L,10.4853,,,,,,,
37,2,1,S,11.35882,,,,,,,
37,2,1,S,17.47158,,,,,,,
37,2,1,M,12.68188,,,,,,,
37,2,1,M,12.67174,,,,,,,
37,2,1,L,11.4274,,,,,,,
37,2,1,L,12.5879,,,,,,,
37,1,2,S,10.66534,,,,,,,
37,1,2,S,12.61906,,,,,,,
37,1,2,M,9.97104,,,,,,,
37,1,2,M,9.78356,,,,,,,
37,1,2,L,10.69152,,,,,,,
37,1,2,L,9.18068,,,,,,,
37,2,2,S,8.99732,,,,,,,
37,2,2,S,10.21678,,,,,,,
37,2,2,M,9.24886,,,,,,,
37,2,2,M,13.94592,,,,,,,
37,2,2,L,8.72548,,,,,,,
37,2,2,L,9.13694,,,,,,,
38,1,1,S,11.54942,,,,,,,
38,1,1,S,9.80414,,,,,,,
38,1,1,M,7.81514,,,,,,,
38,1,1,M,8.27234,,,,,,,
38,1,1,L,9.56784,,,,,,,
38,1,1,L,7.97144,,,,,,,
38,2,1,S,13.66798,,,,,,,
38,2,1,S,13.16724,,,,,,,
38,2,1,M,11.35774,,,,,,,
38,2,1,M,9.1951,,,,,,,
38,2,1,L,10.74802,,,,,,,
38,2,1,L,13.4256,,,,,,,
38,1,2,S,8.88744,,,,,,,
38,1,2,S,11.30422,,,,,,,
38,1,2,M,12.3774,,,,,,,
38,1,2,M,9.43668,,,,,,,
38,1,2,L,8.997,,,,,,,
38,1,2,L,8.43436,,,,,,,
38,2,2,S,13.43172,,,,,,,
38,2,2,S,8.57742,,,,,,,
38,2,2,M,11.15386,,,,,,,
38,2,2,M,7.7753,,,,,,,
38,2,2,L,8.73774,,,,,,,
38,2,2,L,10.10922,,,,,,,
39,1,1,S,5.23574,,,,,,,
39,1,1,S,8.79438,,,,,,,
39,1,1,M,9.33418,,,,,,,
39,1,1,M,10.42202,,,,,,,
39,1,1,L,6.18186,,,,,,,
39,1,1,L,8.89586,,,,,,,
39,2,1,S,14.07152,,,,,,,
39,2,1,S,15.28996,,,,,,,
39,2,1,M,9.23888,,,,,,,
39,2,1,M,13.23746,,,,,,,
39,2,1,L,11.29492,,,,,,,
39,2,1,L,13.47412,,,,,,,
39,1,2,S,11.49376,,,,,,,
39,1,2,S,7.34012,,,,,,,
39,1,2,M,10.7178,,,,,,,
39,1,2,M,8.69876,,,,,,,
39,1,2,L,4.49746,,,,,,,
39,1,2,L,10.53236,,,,,,,
39,2,2,S,13.1651,,,,,,,
39,2,2,S,14.42086,,,,,,,
39,2,2,M,11.4619,,,,,,,
39,2,2,M,9.94744,,,,,,,
39,2,2,L,10.33522,,,,,,,
39,2,2,L,9.0409,,,,,,,
40,1,1,S,7.51574,,,,,,,
40,1,1,S,14.43214,,,,,,,
40,1,1,M,8.78084,,,,,,,
40,1,1,M,7.21498,,,,,,,
40,1,1,L,8.56976,,,,,,,
40,1,1,L,8.89034,,,,,,,
40,2,1,S,11.42782,,,,,,,
40,2,1,S,12.07342,,,,,,,
40,2,1,M,12.93486,,,,,,,
40,2,1,M,9.86686,,,,,,,
40,2,1,L,11.66856,,,,,,,
40,2,1,L,12.47228,,,,,,,
40,1,2,S,10.50558,,,,,,,
40,1,2,S,11.9969,,,,,,,
40,1,2,M,9.48488,,,,,,,
40,1,2,M,9.01566,,,,,,,
40,1,2,L,11.13996,,,,,,,
40,1,2,L,8.34248,,,,,,,
40,2,2,S,9.42146,,,,,,,
40,2,2,S,9.08328,,,,,,,
40,2,2,M,9.3447,,,,,,,
40,2,2,M,6.08096,,,,,,,
40,2,2,L,6.31248,,,,,,,
40,2,2,L,11.2534,,,,,,,
41,1,1,S,15.02236,,,,,,,
41,1,1,S,14.17458,,,,,,,
41,1,1,M,14.69404,,,,,,,
41,1,1,M,10.28692,,,,,,,
41,1,1,L,10.73802,,,,,,,
41,1,1,L,16.0615,,,,,,,
41,2,1,S,8.02296,,,,,,,
41,2,1,S,7.82902,,,,,,,
41,2,1,M,7.16526,,,,,,,
41,2,1,M,8.52872,,,,,,,
41,2,1,L,9.6692,,,,,,,
41,2,1,L,9.09452,,,,,,,
41,1,2,S,11.61372,,,,,,,
41,1,2,S,10.5105,,,,,,,
41,1,2,M,12.87584,,,,,,,
41,1,2,M,11.72348,,,,,,,
41,1,2,L,14.9729,,,,,,,
41,1,2,L,16.68122,,,,,,,
41,2,2,S,10.3887,,,,,,,
41,2,2,S,12.66666,,,,,,,
41,2,2,M,9.81228,,,,,,,
41,2,2,M,9.57382,,,,,,,
41,2,2,L,13.62994,,,,,,,
41,2,2,L,9.72244,,,,,,,
42,1,1,S,10.32562,,,,,,,
42,1,1,S,14.52956,,,,,,,
42,1,1,M,10.68022,,,,,,,
42,1,1,M,11.79092,,,,,,,
42,1,1,L,10.62108,,,,,,,
42,1,1,L,11.23718,,,,,,,
42,2,1,S,10.51084,,,,,,,
42,2,1,S,11.45132,,,,,,,
42,2,1,M,6.25956,,,,,,,
42,2,1,M,8.78268,,,,,,,
42,2,1,L,7.55916,,,,,,,
42,2,1,L,7.32016,,,,,,,
42,1,2,S,13.87174,,,,,,,
42,1,2,S,13.06022,,,,,,,
42,1,2,M,13.25008,,,,,,,
42,1,2,M,10.38732,,,,,,,
42,1,2,L,13.659,,,,,,,
42,1,2,L,11.2409,,,,,,,
42,2,2,S,11.0484,,,,,,,
42,2,2,S,11.01886,,,,,,,
42,2,2,M,9.99838,,,,,,,
42,2,2,M,5.22122,,,,,,,
42,2,2,L,10.66928,,,,,,,
42,2,2,L,10.69946,,,,,,,
43,1,1,S,15.76976,,,,,,,
43,1,1,S,12.61506,,,,,,,
43,1,1,M,10.91196,,,,,,,
43,1,1,M,14.25,,,,,,,
43,1,1,L,12.53042,,,,,,,
43,1,1,L,14.29696,,,,,,,
43,2,1,S,12.19668,,,,,,,
43,2,1,S,9.53896,,,,,,,
43,2,1,M,7.953,,,,,,,
43,2,1,M,9.05952,,,,,,,
43,2,1,L,6.63482,,,,,,,
43,2,1,L,10.3615,,,,,,,
43,1,2,S,11.49188,,,,,,,
43,1,2,S,13.80912,,,,,,,
43,1,2,M,9.7281,,,,,,,
43,1,2,M,11.95134,,,,,,,
43,1,2,L,9.8429,,,,,,,
43,1,2,L,12.41578,,,,,,,
43,2,2,S,9.90258,,,,,,,
43,2,2,S,11.85272,,,,,,,
43,2,2,M,9.54286,,,,,,,
43,2,2,M,10.6381,,,,,,,
43,2,2,L,11.44314,,,,,,,
43,2,2,L,11.39716,,,,,,,
44,1,1,S,14.20486,,,,,,,
44,1,1,S,17.07092,,,,,,,
44,1,1,M,11.18352,,,,,,,
44,1,1,M,11.79906,,,,,,,
44,1,1,L,11.61408,,,,,,,
44,1,1,L,8.93728,,,,,,,
44,2,1,S,4.3263,,,,,,,
44,2,1,S,8.52326,,,,,,,
44,2,1,M,8.57334,,,,,,,
44,2,1,M,3.78506,,,,,,,
44,2,1,L,7.39666,,,,,,,
44,2,1,L,7.32404,,,,,,,
44,1,2,S,11.25408,,,,,,,
44,1,2,S,17.63928,,,,,,,
44,1,2,M,12.12132,,,,,,,
44,1,2,M,10.38588,,,,,,,
44,1,2,L,11.28394,,,,,,,
44,1,2,L,9.2688,,,,,,,
44,2,2,S,10.85844,,,,,,,
44,2,2,S,10.83354,,,,,,,
44,2,2,M,8.4708,,,,,,,
44,2,2,M,9.03022,,,,,,,
44,2,2,L,6.7141,,,,,,,
44,2,2,L,9.44066,,,,,,,
45,1,1,S,13.30456,,,,,,,
45,1,1,S,20.62628,,,,,,,
45,1,1,M,13.77832,,,,,,,
45,1,1,M,15.78456,,,,,,,
45,1,1,L,12.98828,,,,,,,
45,1,1,L,12.55706,,,,,,,
45,2,1,S,9.16036,,,,,,,
45,2,1,S,7.97724,,,,,,,
45,2,1,M,5.92112,,,,,,,
45,2,1,M,8.13852,,,,,,,
45,2,1,L,4.41028,,,,,,,
45,2,1,L,9.08618,,,,,,,
45,1,2,S,9.589,,,,,,,
45,1,2,S,15.0147,,,,,,,
45,1,2,M,8.2258,,,,,,,
45,1,2,M,12.75406,,,,,,,
45,1,2,L,7.64042,,,,,,,
45,1,2,L,14.48816,,,,,,,
45,2,2,S,10.8046,,,,,,,
45,2,2,S,15.29282,,,,,,,
45,2,2,M,12.24502,,,,,,,
45,2,2,M,13.4266,,,,,,,
45,2,2,L,11.95208,,,,,,,
45,2,2,L,11.08088,,,,,,,
46,1,1,S,9.49784,,,,,,,
46,1,1,S,7.36966,,,,,,,
46,1,1,M,8.21116,,,,,,,
46,1,1,M,7.45502,,,,,,,
46,1,1,L,3.4579,,,,,,,
46,1,1,L,11.7028,,,,,,,
46,2,1,S,9.26112,,,,,,,
46,2,1,S,4.17622,,,,,,,
46,2,1,M,7.33532,,,,,,,
46,2,1,M,6.95762,,,,,,,
46,2,1,L,7.02406,,,,,,,
46,2,1,L,6.91328,,,,,,,
46,1,2,S,7.07294,,,,,,,
46,1,2,S,9.5481,,,,,,,
46,1,2,M,10.75578,,,,,,,
46,1,2,M,6.20664,,,,,,,
46,1,2,L,9.7297,,,,,,,
46,1,2,L,7.8619,,,,,,,
46,2,2,S,7.7317,,,,,,,
46,2,2,S,7.52958,,,,,,,
46,2,2,M,10.42102,,,,,,,
46,2,2,M,8.11678,,,,,,,
46,2,2,L,11.8685,,,,,,,
46,2,2,L,10.81262,,,,,,,
47,1,1,S,11.117,,,,,,,
47,1,1,S,12.66316,,,,,,,
47,1,1,M,5.96296,,,,,,,
47,1,1,M,11.5329,,,,,,,
47,1,1,L,10.9043,,,,,,,
47,1,1,L,7.71344,,,,,,,
47,2,1,S,10.62994,,,,,,,
47,2,1,S,9.87666,,,,,,,
47,2,1,M,7.82662,,,,,,,
47,2,1,M,5.41112,,,,,,,
47,2,1,L,7.20278,,,,,,,
47,2,1,L,6.43306,,,,,,,
47,1,2,S,9.71986,,,,,,,
47,1,2,S,6.64508,,,,,,,
47,1,2,M,6.9849,,,,,,,
47,1,2,M,4.06894,,,,,,,
47,1,2,L,9.94716,,,,,,,
47,1,2,L,7.55836,,,,,,,
47,2,2,S,9.5065,,,,,,,
47,2,2,S,11.32774,,,,,,,
47,2,2,M,10.12674,,,,,,,
47,2,2,M,7.28822,,,,,,,
47,2,2,L,12.7334,,,,,,,
47,2,2,L,12.7834,,,,,,,
48,1,1,S,9.87458,,,,,,,
48,1,1,S,10.48792,,,,,,,
48,1,1,M,9.45788,,,,,,,
48,1,1,M,7.66682,,,,,,,
48,1,1,L,10.75922,,,,,,,
48,1,1,L,3.07658,,,,,,,
48,2,1,S,11.85444,,,,,,,
48,2,1,S,6.73992,,,,,,,
48,2,1,M,5.55906,,,,,,,
48,2,1,M,5.96346,,,,,,,
48,2,1,L,5.3492,,,,,,,
48,2,1,L,5.61456,,,,,,,
48,1,2,S,10.26592,,,,,,,
48,1,2,S,9.64104,,,,,,,
48,1,2,M,10.25058,,,,,,,
48,1,2,M,9.80342,,,,,,,
48,1,2,L,10.7872,,,,,,,
48,1,2,L,7.7083,,,,,,,
48,2,2,S,10.3986,,,,,,,
48,2,2,S,9.10248,,,,,,,
48,2,2,M,10.26988,,,,,,,
48,2,2,M,8.88398,,,,,,,
48,2,2,L,6.41308,,,,,,,
48,2,2,L,10.47534,,,,,,,
49,1,1,S,10.36198,,,,,,,
49,1,1,S,12.85174,,,,,,,
49,1,1,M,8.31902,,,,,,,
49,1,1,M,5.56646,,,,,,,
49,1,1,L,5.39526,,,,,,,
49,1,1,L,10.65366,,,,,,,
49,2,1,S,8.02556,,,,,,,
49,2,1,S,8.94718,,,,,,,
49,2,1,M,12.30556,,,,,,,
49,2,1,M,4.58162,,,,,,,
49,2,1,L,8.86074,,,,,,,
49,2,1,L,8.20832,,,,,,,
49,1,2,S,7.97192,,,,,,,
49,1,2,S,10.86158,,,,,,,
49,1,2,M,8.45622,,,,,,,
49,1,2,M,6.34588,,,,,,,
49,1,2,L,5.42686,,,,,,,
49,1,2,L,4.47638,,,,,,,
49,2,2,S,10.68934,,,,,,,
49,2,2,S,11.75282,,,,,,,
49,2,2,M,9.96072,,,,,,,
49,2,2,M,8.6552,,,,,,,
49,2,2,L,13.30514,,,,,,,
49,2,2,L,10.33156,,,,,,,
50,1,1,S,9.16932,,,,,,,
50,1,1,S,9.35368,,,,,,,
50,1,1,M,8.91026,,,,,,,
50,1,1,M,9.3007,,,,,,,
50,1,1,L,5.88594,,,,,,,
50,1,1,L,4.93814,,,,,,,
50,2,1,S,8.19876,,,,,,,
50,2,1,S,11.01974,,,,,,,
50,2,1,M,6.57236,,,,,,,
50,2,1,M,7.80256,,,,,,,
50,2,1,L,6.3673,,,,,,,
50,2,1,L,7.90368,,,,,,,
50,1,2,S,10.8465,,,,,,,
50,1,2,S,10.92324,,,,,,,
50,1,2,M,2.8474,,,,,,,
50,1,2,M,10.62946,,,,,,,
50,1,2,L,10.95742,,,,,,,
50,1,2,L,9.8979,,,,,,,
50,2,2,S,14.80188,,,,,,,
50,2,2,S,9.54298,,,,,,,
50,2,2,M,7.10016,,,,,,,
50,2,2,M,10.04682,,,,,,,
50,2,2,L,8.26988,,,,,,,
50,2,2,L,13.6365,,,,,,,
